target_id,EXP_1,EXP_2,EXP_3,EXP_4,EXP_5,FAKER_1,FAKER_2,FAKER_3,FAKER_4,FAKER_5,human_1,human_2,human_3,human_4,human_5
T1201,0.41854469609599226,0.41854469609599226,0.42328803804261994,0.42328803804261994,0.4470047477757583,0.4849514833487797,0.4849514833487797,0.46597811556226904,0.4991815091886627,0.5039248511352904,0.4470047477757583,0.44226140582913065,0.5039248511352904,0.16714757292472612,0.29996114743030095
H1202,0.35568179368628955,0.211597733743926,0.36597351225360125,0.3865569493882246,0.36597351225360125,0.3865569493882246,0.31451491941704285,0.41743210509015966,0.3865569493882246,0.2836397637151078,0.37626523082091295,0.25276460801317274,0.2836397637151078,0.2836397637151078,0.37626523082091295
H1204,0.5398781220344395,0.5329840625081125,0.11244643140216284,0.11934049092848988,0.5398781220344395,-2.0109239027065646,0.19517514571808736,0.5260900029817854,0.3606325743499364,1.9049019082471925,-2.0109239027065646,0.19517514571808736,0.5260900029817854,0.3606325743499364,-1.8730427121800237
T1206,0.3181252187459957,0.3416266575648929,0.3122498590412714,-0.1460281979272238,-0.12252675910832657,0.3122498590412714,0.3181252187459957,0.32400057845072,0.30049913963182273,0.3357512978601686,0.30637449933654703,0.02435723350978041,0.07723547085229916,0.07723547085229916,0.3357512978601686
H1208,0.35578450114865284,0.35578450114865284,0.3639255194185973,-0.7025478739441238,-1.2968422076500672,0.33136144633881953,0.38020755595848615,0.2906563549890973,0.35578450114865284,0.2987973732590417,0.33950246460876393,0.3232204280688751,0.33950246460876393,0.38020755595848615,0.3232204280688751
H1213,0.5429438913046478,0.49741698787392724,0.3608362775817655,0.5201804395892875,0.5087987137316073,0.560016480091168,0.554325617162328,0.554325617162328,0.5372530283758077,0.5372530283758077,0.5372530283758077,0.5031078508027673,0.34376368879524527,0.2925459224356853,0.34376368879524527
H1215,-0.5205276131360823,0.5950238082236227,1.0757085670208943,-0.7109876119048126,-1.1100466569440561,-0.5023885656342985,-0.5023885656342985,-0.5023885656342985,-0.5023885656342985,-0.46611047063073086,-0.4570409468798389,-0.5023885656342985,-0.5023885656342985,-0.5658752318905419,-0.48424951813251466
H1217,0.568673707458318,0.38469103739827387,0.38469103739827387,0.52538366744419,0.6065524924706801,1.0015741075995979,0.9799290875925338,0.6931325724989361,0.6119637474724461,0.6336087674795101,1.0015741075995979,0.9799290875925338,0.6931325724989361,0.6119637474724461,0.6336087674795101
T1218,-0.6683183327081734,-0.6683183327081734,-0.5058231277835447,-0.3088592430264187,-0.3974929911671254,-0.028185707247514426,-0.047882095723227026,-0.7372556923731675,-0.6436978471135326,-0.5058231277835447,-0.7471038866110238,-0.7175593038974549,-0.7471038866110238,-0.6781665269460296,-0.7372556923731675
H1220,1.04059781743821,-0.38226807490433556,1.0075079129651274,-2.864010910385521,-2.9798255760413097,0.29607496679385564,-0.34917817043125304,-0.3326332181947118,0.5773391548150568,0.4946143936323506,0.5773391548150568,0.4946143936323506,0.36225477574002063,0.6766088682343043,0.46152448915926814
H1222,0.10727381500545367,0.0654614918105156,0.12121125607043304,0.07939893287549496,0.14908613820039177,0.12121125607043304,0.037586609680556875,-0.575660797178535,0.16302357926537112,0.6787088986696059,0.6229591344096885,0.5950842522797297,0.5950842522797297,0.6787088986696059,0.3999600773700187
H1223,-0.874489560506274,-0.874489560506274,-0.8855477903624913,-0.874489560506274,-0.8855477903624913,-0.37686921697649656,-0.4432185961138002,1.2708070315998765,-0.4321603662575829,-0.7860237216565358,1.4477387092993517,1.1381082733252692,-0.7860237216565358,-0.7528490320878839,-0.8413148709376221
H1225,-0.6136808996978739,-0.5633090949545474,-0.6976339076034181,-0.6808433060223092,-0.714424509184527,-0.1267534538457173,-0.17712525858904385,-0.17712525858904385,-0.2610782664945881,0.8135202346963782,-0.39540307914345885,0.7967296331152693,0.8135202346963782,0.6959860236286163,0.39375519516865704
H1227,0.9116065609126924,0.9329980506091997,0.9116065609126924,-0.3433608346157321,-0.37188282087774177,0.9116065609126924,0.90447606434719,0.9258675540436972,0.9187370574781949,0.8830845746506828,0.90447606434719,-0.528753745318795,0.9116065609126924,0.9187370574781949,0.9187370574781949
H1229,0.46277536163974936,-2.0808129489147364,-2.0808129489147364,-2.1882885113325297,-2.206201105068829,0.3552997992219541,0.3732123929582533,0.4269501741671509,0.44486276790345014,0.8210272363657335,0.40903758043085175,0.40903758043085175,0.40903758043085175,-2.0808129489147364,-2.0808129489147364
H1230,0.3474414400129982,0.3077195326678103,0.3209601684495396,-2.6581828824395495,-2.6581828824395495,0.28123826110435174,0.28123826110435174,0.22827571797743454,0.21503508219570525,0.3342008042312689,0.3342008042312689,0.3342008042312689,0.426885254703374,-2.406610802586693,-2.022632364916543
H1232,-0.8333545904078375,-0.8333545904078375,-0.8333545904078375,-0.8333545904078375,-0.8333545904078375,0.4210904086134772,0.4041384491672432,0.4041384491672432,0.45499432750594515,0.4719462869521791,0.4719462869521791,0.45499432750594515,0.3702345302747752,0.4210904086134772,0.3702345302747752
